RegionID,RegionName,Date,IncomeNeededToAffordHome,IncomeNeededToAffordRent
102001,United States,2015-01-31,50975.47312758869,48198.562557215904
394913,"New York, NY",2015-01-31,112204.211446242,90996.15951294843
753899,"Los Angeles, CA",2015-01-31,141710.96708881125,72285.65119211297
394463,"Chicago, IL",2015-01-31,53642.17329368674,57161.98938099447
394514,"Dallas, TX",2015-01-31,48094.26417292057,44375.9793891668
394692,"Houston, TX",2015-01-31,48822.71620775168,48593.67624620208
395209,"Washington, DC",2015-01-31,103081.38342855909,67947.65716386048
394974,"Philadelphia, PA",2015-01-31,56302.83616274533,49518.22997538927
394856,"Miami, FL",2015-01-31,58133.90709504636,59271.425891984036
394347,"Atlanta, GA",2015-01-31,46757.51786982491,41280.36336294763
394404,"Boston, MA",2015-01-31,102965.24887945144,82198.56272072668
394976,"Phoenix, AZ",2015-01-31,56732.04782056374,37854.57724923437
395057,"San Francisco, CA",2015-01-31,186159.51880487014,90095.58330873548
395025,"Riverside, CA",2015-01-31,77372.22848204433,53339.44651580941
394532,"Detroit, MI",2015-01-31,33464.23931274031,34356.18564506994
395078,"Seattle, WA",2015-01-31,91315.17050623534,54755.018923411444
394865,"Minneapolis, MN",2015-01-31,59913.962372014066,45205.80536405933
395056,"San Diego, CA",2015-01-31,126817.79658631262,67731.81455814591
395148,"Tampa, FL",2015-01-31,42551.86585801488,43066.84105581897
394530,"Denver, CO",2015-01-31,81500.3766709854,50222.02637977337
394358,"Baltimore, MD",2015-01-31,70995.43861382459,52250.66258413229
395121,"St. Louis, MO",2015-01-31,39801.77456008015,35103.12272563543
394943,"Orlando, FL",2015-01-31,48144.329779205254,45360.62112194087
394458,"Charlotte, NC",2015-01-31,45961.628957855355,40894.03718732852
395055,"San Antonio, TX",2015-01-31,43925.54238409951,41009.42705817658
394998,"Portland, OR",2015-01-31,79192.2372686023,45477.280127011836
395045,"Sacramento, CA",2015-01-31,86306.81620013002,50460.784976308416
394982,"Pittsburgh, PA",2015-01-31,35967.142161732074,39158.55218972001
394466,"Cincinnati, OH",2015-01-31,39882.43322198245,35332.4071484079
394355,"Austin, TX",2015-01-31,69064.24732094911,47698.00052445196
394775,"Las Vegas, NV",2015-01-31,52783.68655080171,39508.44670813514
394735,"Kansas City, MO",2015-01-31,40759.930574289785,35798.80614922264
394492,"Columbus, OH",2015-01-31,41414.28030370331,35468.60897354098
394705,"Indianapolis, IN",2015-01-31,36942.592159639804,36947.72366466276
394475,"Cleveland, OH",2015-01-31,32874.33796888105,33958.23645829871
395059,"San Jose, CA",2015-01-31,225174.60843147125,98832.24900035387
394902,"Nashville, TN",2015-01-31,53246.76715546988,46208.59014853179
395194,"Virginia Beach, VA",2015-01-31,59190.164203107954,43702.3780712743
395005,"Providence, RI",2015-01-31,65070.92719391639,43383.42637214806
394714,"Jacksonville, FL",2015-01-31,45287.528137111476,40641.567124269815
394862,"Milwaukee, WI",2015-01-31,51580.18567360576,38794.915879503744
394935,"Oklahoma City, OK",2015-01-31,37739.22303961399,37115.943612467796
395012,"Raleigh, NC",2015-01-31,60271.57329496907,43724.91747945143
394849,"Memphis, TN",2015-01-31,32441.008016914075,35504.44679873182
395022,"Richmond, VA",2015-01-31,54132.119618090415,39233.06130803728
394807,"Louisville, KY",2015-01-31,38699.5823449612,33616.3366552458
394910,"New Orleans, LA",2015-01-31,54051.81489663801,44950.286241807764
395053,"Salt Lake City, UT",2015-01-31,68272.06382605943,39285.53588742488
394669,"Hartford, CT",2015-01-31,58768.57604804434,45087.38807659891
394425,"Buffalo, NY",2015-01-31,35263.385463467705,31233.171394316847
394388,"Birmingham, AL",2015-01-31,39584.06230421918,36573.2162629649
395031,"Rochester, NY",2015-01-31,35061.527444155865,36326.60370311821
394640,"Grand Rapids, MI",2015-01-31,41539.79057158636,33952.521087607885
395167,"Tucson, AZ",2015-01-31,47541.93821914089,34584.840939283706
753924,"Urban Honolulu, HI",2015-01-31,150356.70285271225,80339.87316057009
395169,"Tulsa, OK",2015-01-31,35592.00720431832,35428.86605707763
394619,"Fresno, CA",2015-01-31,54072.201587200594,40794.25396907909
395238,"Worcester, MA",2015-01-31,61133.26118408244,43125.38554499561
394938,"Omaha, NE",2015-01-31,40809.60430149474,33947.03937749534
394415,"Bridgeport, CT",2015-01-31,109681.76539743686,67684.13573125628
394653,"Greenville, SC",2015-01-31,40121.54858928428,35477.99591462581
394312,"Albuquerque, NM",2015-01-31,46352.519982842714,37205.930268927514
394357,"Bakersfield, CA",2015-01-31,48474.58468404096,39833.73711042561
394308,"Albany, NY",2015-01-31,53121.03858980921,41393.33586349966
394753,"Knoxville, TN",2015-01-31,40225.6919400106,35782.42567502147
394367,"Baton Rouge, LA",2015-01-31,46856.54468171026,41794.488523951644
394843,"McAllen, TX",2015-01-31,25237.693880615006,33833.73897920041
394908,"New Haven, CT",2015-01-31,56821.01796635838,46734.25106165667
394561,"El Paso, TX",2015-01-31,34103.68728608691,39501.7346103192
394318,"Allentown, PA",2015-01-31,50024.7698299172,42530.56433185832
394952,"Oxnard, CA",2015-01-31,137945.17269950424,71270.42321363732
394486,"Columbia, SC",2015-01-31,36090.170854767435,34814.75258485972
753906,"North Port, FL",2015-01-31,58458.283438500766,51404.13187198397
394457,"Charleston, SC",2015-01-31,58052.7438205878,44978.936505183665
394648,"Greensboro, NC",2015-01-31,34399.0224540977,34119.67508055549
395134,"Stockton, CA",2015-01-31,72950.22324393124,50843.82192949948
394440,"Cape Coral, FL",2015-01-31,50495.72924808947,40915.1606295377
394399,"Boise City, ID",2015-01-31,51354.85578843395,35232.21126689466
394484,"Colorado Springs, CO",2015-01-31,62762.80364647322,41519.214086607804
394798,"Little Rock, AR",2015-01-31,40523.00901122801,32573.653553444034
394766,"Lakeland, FL",2015-01-31,35954.996995809626,40355.41003356665
394304,"Akron, OH",2015-01-31,31749.04218459907,29223.01791075282
394531,"Des Moines, IA",2015-01-31,43708.7247123193,38119.12604610106
394931,"Ogden, UT",2015-01-31,56636.270489711,34945.456610396424
394816,"Madison, WI",2015-01-31,60194.95546103147,40980.79804851524
395235,"Winston, NC",2015-01-31,36667.0825325971,35865.40492293399
394528,"Deltona, FL",2015-01-31,40754.171608980054,39363.37000839386
395006,"Provo, UT",2015-01-31,66049.98148917765,42009.51235357315
395160,"Toledo, OH",2015-01-31,26759.227679254236,29153.0011693881
395224,"Wichita, KS",2015-01-31,30995.850060630608,28722.922512236724
394549,"Durham, NC",2015-01-31,53486.33170787014,41671.1763315761
394352,"Augusta, GA",2015-01-31,33824.03668985645,31785.05573524532
394957,"Palm Bay, FL",2015-01-31,40409.858928488415,39185.27399350674
394666,"Harrisburg, PA",2015-01-31,46123.14856207662,34388.17463242934
395113,"Spokane, WA",2015-01-31,46523.44487928378,30062.5526054342
395075,"Scranton, PA",2015-01-31,33081.61421714426,30257.348593618313
394460,"Chattanooga, TN",2015-01-31,40590.55634157492,33645.91842382411
394871,"Modesto, CA",2015-01-31,62294.23698559889,39321.82763897787
394768,"Lancaster, PA",2015-01-31,53458.06849643124,30372.414055318673
394997,"Portland, ME",2015-01-31,64657.71063491647,47705.445354360345
394770,"Lansing, MI",2015-01-31,32381.79091127461,27619.465728790252
394590,"Fayetteville, AR",2015-01-31,42396.39854545277,34914.02394641708
394589,"Fayetteville, NC",2015-01-31,36359.452101238116,32545.308850424906
394792,"Lexington, KY",2015-01-31,42345.09208162279,33484.27289267556
394971,"Pensacola, FL",2015-01-31,38829.608314573845,37770.310507876944
395068,"Santa Rosa, CA",2015-01-31,134903.24607255353,67037.20190334316
395019,"Reno, NV",2015-01-31,67195.05646049666,40146.45496699009
394698,"Huntsville, AL",2015-01-31,44815.97286705968,31199.9344378978
394995,"Port St. Lucie, FL",2015-01-31,42542.461632400955,45966.872870256804
394898,"Myrtle Beach, SC",2015-01-31,47029.84705637248,40410.96068135589
395116,"Springfield, MO",2015-01-31,33961.053574873615,29208.74403414701
395195,"Visalia, CA",2015-01-31,46626.90800811421,39865.75177533776
394746,"Killeen, TX",2015-01-31,36765.77542624769,33548.28284015691
394338,"Asheville, NC",2015-01-31,54697.81854336888,39211.37543490354
395244,"York, PA",2015-01-31,43244.29827364904,31043.632458553526
